beneficiary_id,age,last_transaction_days,monthly_amount,transaction_frequency,aadhaar_verified,bank_account_reuse_count,death_record_match,location_mismatch,fraud_label
B00001,54,29,2130,4,1,1,0,0,0
B00002,30,4,3135,1,1,1,0,0,0
B00003,31,2,4485,2,1,1,0,0,0
B00004,51,27,3904,9,1,1,0,0,1
B00005,54,12,4005,3,1,1,0,0,0
B00006,38,9,1646,1,0,1,0,0,0
B00007,97,26,3041,1,0,1,0,0,0
B00008,66,8,4499,1,0,1,0,0,0
B00009,47,6,4459,2,1,1,0,0,0
B00010,37,2,3777,4,1,1,0,0,0
B00011,74,23,1455,2,1,1,0,0,0
B00012,72,21,1337,3,1,1,0,0,0
B00013,98,15,4112,3,1,1,1,0,1
B00014,50,8,2522,1,1,1,0,0,0
B00015,26,28,4065,1,1,1,0,0,0
B00016,55,24,1502,3,1,1,0,0,0
B00017,42,5,1960,3,1,1,0,0,0
B00018,73,9,1870,6,1,1,0,0,1
B00019,46,29,4312,4,1,1,0,0,0
B00020,52,265,2678,3,1,1,0,0,1
B00021,89,25,3604,2,1,1,0,0,0
B00022,81,11,4869,4,1,1,1,0,1
B00023,59,3,1972,1,0,1,0,0,0
B00024,64,10,4296,3,1,1,0,0,0
B00025,48,17,4763,1,1,1,0,0,0
B00026,62,17,4184,1,1,1,0,0,0
B00027,84,1,2759,7,1,1,0,0,1
B00028,83,24,4510,3,1,1,0,0,0
B00029,83,22,4681,5,1,1,1,0,1
B00030,42,27,1659,4,1,1,0,0,0
B00031,79,20,3911,3,1,1,0,0,0
B00032,67,28,1640,3,1,1,0,0,0
B00033,69,28,2634,3,1,1,0,0,0
B00034,76,16,3049,1,1,1,0,0,0
B00035,88,19,4304,3,1,1,0,0,0
B00036,80,11,4991,4,1,1,0,0,0
B00037,62,25,4183,2,1,4,0,0,1
B00038,75,4,1956,1,1,1,0,0,0
B00039,59,8,2527,4,1,1,0,0,0
B00040,71,22,1954,3,1,1,0,0,0
B00041,92,8,1562,2,1,1,0,0,0
B00042,74,5,1959,1,1,1,0,0,0
B00043,76,12,4583,1,1,1,0,0,0
B00044,82,5,4963,1,1,1,0,0,0
B00045,82,20,1699,1,1,1,0,0,0
B00046,82,25,1127,2,1,1,0,0,0
B00047,93,309,4863,2,1,1,0,0,1
B00048,47,22,4464,3,1,1,0,0,0
B00049,62,24,2841,1,1,1,0,0,0
B00050,72,8,1019,1,1,1,0,0,0
B00051,94,2,2115,2,1,1,0,0,0
B00052,56,6,2715,2,1,1,0,0,0
B00053,47,12,4124,4,1,1,0,0,0
B00054,79,3,4421,3,1,1,0,0,0
B00055,89,17,2693,3,1,1,0,0,0
B00056,64,23,4545,1,1,1,0,0,0
B00057,20,22,4822,2,1,1,0,0,0
B00058,55,5,2212,3,1,1,0,0,0
B00059,55,22,4506,1,0,1,0,0,1
B00060,33,5,1957,4,0,1,0,0,1
B00061,60,5,4325,2,1,1,0,0,0
B00062,61,10,4251,3,1,1,0,0,0
B00063,84,24,1515,4,1,1,0,0,0
B00064,99,18,2687,4,0,1,0,0,1
B00065,64,1,2291,3,1,1,0,0,0
B00066,52,394,1011,3,0,1,0,0,1
B00067,27,10,3652,2,0,1,0,0,0
B00068,43,18,1825,1,1,1,0,0,0
B00069,63,9,4465,1,1,1,0,0,0
B00070,63,7,1977,1,1,1,0,0,0
B00071,71,13,4440,3,1,1,0,0,0
B00072,56,16,3109,4,1,1,0,0,0
B00073,23,9,1395,1,1,1,0,0,0
B00074,99,15,1850,6,0,1,0,0,1
B00075,63,16,4636,3,1,4,0,0,1
B00076,24,29,4234,6,1,1,0,0,1
B00077,71,6,3960,1,0,1,0,0,0
B00078,37,315,3842,2,0,1,0,0,1
B00079,40,17,2365,4,1,1,0,0,0
B00080,65,19,4323,3,1,1,0,0,0
B00081,78,3,1038,2,1,1,0,0,0
B00082,79,29,3523,4,1,1,0,0,0
B00083,76,1,4480,4,1,1,0,0,0
B00084,32,21,2852,3,0,1,0,0,0
B00085,83,20,2250,3,0,1,0,0,0
B00086,54,21,4486,1,1,1,0,0,0
B00087,70,16,2035,2,1,1,0,0,0
B00088,67,4,2145,4,1,1,0,0,0
B00089,64,27,1040,4,1,1,0,0,0
B00090,59,16,3508,4,1,1,0,0,0
B00091,77,5,3930,4,1,1,0,0,0
B00092,97,5,4322,1,0,1,0,0,0
B00093,74,21,3224,3,1,1,0,0,0
B00094,76,2,2484,1,0,1,0,0,1
B00095,25,5,1475,1,1,1,0,0,0
B00096,64,10,4636,1,1,1,0,0,0
B00097,73,13,3048,3,1,1,0,0,0
B00098,61,8,4419,3,0,1,0,0,0
B00099,62,12,4962,2,1,1,0,0,0
B00100,36,15,1623,3,1,1,0,0,0
B00101,70,6,1434,3,1,1,0,0,0
B00102,77,27,3845,3,0,1,0,0,0
B00103,60,28,4031,3,1,1,0,0,0
B00104,63,17,1137,4,1,1,0,0,0
B00105,61,2,4845,1,1,1,0,0,0
B00106,58,23,3158,1,1,1,0,0,0
B00107,47,4,1899,4,1,1,0,0,0
B00108,77,19,1060,2,0,1,0,0,0
B00109,45,9,4584,1,1,1,0,0,0
B00110,52,26,4994,1,1,1,0,0,0
B00111,30,29,3878,4,0,1,0,0,0
B00112,22,15,2276,4,1,1,0,0,0
B00113,53,186,4287,2,0,1,0,0,1
B00114,73,28,3410,3,1,1,0,0,0
B00115,91,23,2215,5,1,1,1,0,1
B00116,31,13,1536,1,1,1,0,0,0
B00117,72,4,2169,3,1,1,0,0,0
B00118,76,10,3795,3,1,1,0,0,0
B00119,61,27,4514,4,1,1,0,0,0
B00120,45,16,2605,3,1,1,0,0,0
B00121,48,19,1758,3,0,1,0,0,0
B00122,98,28,4393,4,1,1,1,0,1
B00123,61,8,1846,3,1,1,0,0,0
B00124,43,1,2810,4,1,1,0,0,0
B00125,73,5,1319,2,1,1,0,0,0
B00126,42,18,4744,2,1,1,0,0,0
B00127,91,2,3060,3,0,1,1,0,1
B00128,65,17,3038,3,1,1,0,0,0
B00129,70,12,2160,2,1,1,0,0,0
B00130,67,5,4850,1,1,1,0,0,0
B00131,44,14,3898,3,1,1,0,0,0
B00132,97,7,3343,4,1,1,0,0,0
B00133,60,15,2046,3,1,1,0,0,0
B00134,41,8,2997,1,1,1,0,0,0
B00135,62,8,3438,3,1,1,0,0,0
B00136,80,7,3035,2,1,1,0,0,0
B00137,64,1,4482,3,0,1,0,0,0
B00138,69,6,3912,2,1,1,0,0,0
B00139,79,29,4767,3,1,1,0,0,0
B00140,72,19,1129,3,1,1,0,0,0
B00141,44,10,2683,3,1,1,0,0,0
B00142,73,26,1362,4,1,1,0,0,0
B00143,74,11,2639,4,1,1,0,0,0
B00144,64,10,2863,3,1,1,0,0,0
B00145,38,8,4100,2,1,1,0,0,0
B00146,44,14,4476,2,1,1,0,0,0
B00147,58,21,1935,3,1,1,0,0,0
B00148,48,20,4874,3,1,1,0,0,0
B00149,57,27,1474,2,1,1,0,0,0
B00150,78,25,2205,4,1,1,0,0,0
B00151,96,11,1284,3,0,1,0,0,1
B00152,76,17,2107,1,1,1,0,0,0
B00153,67,1,3608,3,1,1,0,0,0
B00154,78,29,4389,4,1,1,0,0,0
B00155,78,14,3065,1,1,1,0,0,0
B00156,76,6,3161,2,0,1,0,0,1
B00157,22,10,1799,2,1,1,0,0,0
B00158,77,8,4462,1,0,1,0,0,0
B00159,47,15,4125,1,1,1,0,0,0
B00160,67,24,4489,3,1,1,0,0,0
B00161,63,22,2523,1,1,1,0,0,0
B00162,86,1,1329,3,0,1,0,0,1
B00163,97,15,1513,1,1,1,0,0,0
B00164,62,12,1470,3,1,1,0,0,0
B00165,68,12,4297,1,1,1,0,0,0
B00166,76,24,3761,2,1,1,0,0,0
B00167,57,14,4186,1,1,1,0,0,0
B00168,68,11,2781,2,0,1,0,0,1
B00169,44,18,1074,2,1,1,0,0,0
B00170,61,25,4088,1,1,1,0,0,0
B00171,45,2,1730,4,1,1,0,0,0
